Filename,Page,Side,Label
016I_fob.tif,fob,,Front outside binding
016I_fib.tif,fib,,Front inside binding
016I_a_R.tif,a,R,f. a R
016I_a_V.tif,a,V,f. a V
016I_b_R.tif,b,R,f. b R
016I_b_V.tif,b,V,f. b V
016I_i_R.tif,i,R,f. i R
016I_i_V.tif,i,V,f. i V
016I_ii_R.tif,ii,R,f. ii R
016I_ii_V.tif,ii,V,f. ii V
016I_iii_R.tif,iii,R,f. iii R
016I_iii_V.tif,iii,V,f. iii V
016I_iv_R.tif,iv,R,f. iv R
016I_iv_V.tif,iv,V,f. iv V
016I_v_R.tif,v,R,f. v R
016I_v_V.tif,v,V,f. v V
016I_c_R.tif,c,R,f. c R
016I_c_V.tif,c,V,f. c V
016I_d_R.tif,d,R,f. d R
016I_d_V.tif,d,V,f. d V
016I_bib.tif,bib,,Back inside binding
016I_bob.tif,bob,,Back outside binding
