Filename,Page ,Side,Label
415_fob.tif,fob,,Front outside binding
415_fib.tif,fib,,Front inside binding
415_i_R.tif,i,R,f. i R
415_i_V.tif,i,V,f. i V
415_ii_R.tif,ii,R,f. ii R
415_ii_V.tif,ii,V,f. ii V
415_iii_R.tif,iii,R,f. iii R
415_iii_V.tif,iii,V,f. iii V
415_iv_R.tif,iv,R,f. iv R
415_iv_V.tif,iv,V,f. iv V
415_v_R.tif,v,R,f. v R
415_v_V.tif,v,V,f. v V
415_vi_R.tif,vi,R,f. vi R
415_vi_V.tif,vi,V,f. vi V
415_001.tif,1,,f. 1 
415_002.tif,2,,f. 2 
415_003.tif,3,,f. 3 
415_004.tif,4,,f. 4 
415_005.tif,5,,f. 5 
415_006.tif,6,,f. 6 
415_007.tif,7,,f. 7 
415_008.tif,8,,f. 8 
415_009.tif,9,,f. 9 
415_010.tif,10,,f. 10 
415_011.tif,11,,f. 11 
415_012.tif,12,,f. 12 
415_013.tif,13,,f. 13 
415_014.tif,14,,f. 14 
415_015.tif,15,,f. 15 
415_016.tif,16,,f. 16 
415_017.tif,17,,f. 17 
415_018.tif,18,,f. 18 
415_019.tif,19,,f. 19 
415_020.tif,20,,f. 20 
415_021.tif,21,,f. 21 
415_022.tif,22,,f. 22 
415_023.tif,23,,f. 23 
415_024.tif,24,,f. 24 
415_025.tif,25,,f. 25 
415_026.tif,26,,f. 26 
415_027.tif,27,,f. 27 
415_028.tif,28,,f. 28 
415_029.tif,29,,f. 29 
415_030.tif,30,,f. 30 
415_031.tif,31,,f. 31 
415_032.tif,32,,f. 32 
415_033.tif,33,,f. 33 
415_034.tif,34,,f. 34 
415_035.tif,35,,f. 35 
415_036.tif,36,,f. 36 
415_037.tif,37,,f. 37 
415_038.tif,38,,f. 38 
415_039.tif,39,,f. 39 
415_040.tif,40,,f. 40 
415_041.tif,41,,f. 41 
415_042.tif,42,,f. 42 
415_043.tif,43,,f. 43 
415_044.tif,44,,f. 44 
415_045.tif,45,,f. 45 
415_046.tif,46,,f. 46 
415_047.tif,47,,f. 47 
415_048.tif,48,,f. 48 
415_049.tif,49,,f. 49 
415_050.tif,50,,f. 50 
415_051.tif,51,,f. 51 
415_052.tif,52,,f. 52 
415_053.tif,53,,f. 53 
415_054.tif,54,,f. 54 
415_055.tif,55,,f. 55 
415_056.tif,56,,f. 56 
415_057.tif,57,,f. 57 
415_058.tif,58,,f. 58 
415_059.tif,59,,f. 59 
415_060.tif,60,,f. 60 
415_061.tif,61,,f. 61 
415_062.tif,62,,f. 62 
415_063.tif,63,,f. 63 
415_064.tif,64,,f. 64 
415_065.tif,65,,f. 65 
415_066.tif,66,,f. 66 
415_067.tif,67,,f. 67 
415_068.tif,68,,f. 68 
415_069.tif,69,,f. 69 
415_070.tif,70,,f. 70 
415_071.tif,71,,f. 71 
415_072.tif,72,,f. 72 
415_073.tif,73,,f. 73 
415_074.tif,74,,f. 74 
415_075.tif,75,,f. 75 
415_076.tif,76,,f. 76 
415_077.tif,77,,f. 77 
415_078.tif,78,,f. 78 
415_079.tif,79,,f. 79 
415_080.tif,80,,f. 80 
415_081.tif,81,,f. 81 
415_082.tif,82,,f. 82 
